2.572	0.00000e+000	0.00000e+000
2.693	0.00000e+000	0.00000e+000
2.811	7.00000e+001	1.05230e+000
2.925	2.20000e+002	1.40910e+000
3.035	3.60000e+002	1.78430e+000
3.143	5.60000e+002	1.30840e+000
3.247	6.00000e+002	1.13460e+000
3.369	8.40000e+002	9.69900e-001
3.467	8.70000e+002	9.97350e-001
3.562	1.03000e+003	6.03900e-001
3.672	1.15000e+003	7.41150e-001
3.762	1.20000e+003	7.41150e-001
3.849	1.18000e+003	7.50300e-001
3.933	1.00000e+003	7.68600e-001
4.015	8.50000e+002	8.41800e-001
4.111	6.90000e+002	8.96700e-001
4.188	6.10000e+002	1.02480e+000
4.263	4.90000e+002	1.13460e+000
4.336	3.70000e+002	9.60750e-001
4.407	3.10000e+002	1.01570e+000
4.477	1.90000e+002	9.24150e-001
4.544	1.30000e+002	7.50300e-001
4.61	5.00000e+001	6.58800e-001
4.674	0.00000e+000	0.00000e+000
4.737	0.00000e+000	0.00000e+000
4.798	0.00000e+000	0.00000e+000
4.858	0.00000e+000	0.00000e+000
2.596	0.00000e+000	0.00000e+000
2.717	3.00000e+001	0.00000e+000
2.834	9.00000e+001	1.16210e+000
2.947	2.70000e+002	1.57380e+000
3.057	4.20000e+002	1.99470e+000
3.164	6.10000e+002	1.19870e+000
3.268	6.40000e+002	1.18950e+000
3.389	8.60000e+002	9.60750e-001
3.486	9.30000e+002	8.87550e-001
3.58	1.05000e+003	8.78400e-001
3.69	1.12000e+003	8.78400e-001
3.779	1.12000e+003	7.77750e-001
3.866	1.09000e+003	8.41800e-001
3.95	1.01000e+003	8.69250e-001
4.047	8.10000e+002	9.42450e-001
4.126	6.60000e+002	8.32650e-001
4.203	6.00000e+002	1.05230e+000
4.278	5.10000e+002	8.78400e-001
4.35	3.20000e+002	1.27180e+000
4.421	2.80000e+002	1.07050e+000
4.49	1.70000e+002	8.78400e-001
4.558	9.00000e+001	7.59450e-001
4.623	5.00000e+001	4.84950e-001
4.687	0.00000e+000	0.00000e+000
4.749	0.00000e+000	0.00000e+000
4.81	0.00000e+000	0.00000e+000
4.87	0.00000e+000	0.00000e+000
2.621	0.00000e+000	0.00000e+000
2.74	5.00000e+001	7.50300e-001
2.857	1.50000e+002	1.21700e+000
2.969	3.50000e+002	1.68360e+000
3.079	4.80000e+002	1.93980e+000
3.185	6.80000e+002	1.21700e+000
3.288	7.10000e+002	1.36340e+000
3.408	8.70000e+002	1.03390e+000
3.505	1.00000e+003	1.00650e+000
3.599	1.12000e+003	9.33300e-001
3.708	1.16000e+003	8.23500e-001
3.797	1.21000e+003	7.50300e-001
3.883	1.17000e+003	7.77750e-001
3.966	9.00000e+002	7.77750e-001
4.063	7.90000e+002	1.03390e+000
4.142	6.40000e+002	1.02480e+000
4.218	5.30000e+002	1.10710e+000
4.292	4.30000e+002	9.51600e-001
4.365	3.40000e+002	1.07050e+000
4.435	2.50000e+002	1.07050e+000
4.504	1.40000e+002	8.14350e-001
4.571	9.00000e+001	6.40500e-001
4.636	5.00000e+001	4.48350e-001
4.7	0.00000e+000	0.00000e+000
4.762	0.00000e+000	0.00000e+000
4.822	0.00000e+000	0.00000e+000
4.882	0.00000e+000	0.00000e+000
2.645	0.00000e+000	0.00000e+000
2.764	7.00000e+001	9.69900e-001
2.879	1.60000e+002	1.13460e+000
2.991	3.40000e+002	1.88490e+000
3.1	4.90000e+002	1.60130e+000
3.206	6.50000e+002	1.18030e+000
3.309	7.70000e+002	1.16210e+000
3.428	9.00000e+002	9.33300e-001
3.524	1.04000e+003	9.24150e-001
3.618	1.18000e+003	8.60100e-001
3.726	1.19000e+003	8.60100e-001
3.814	1.19000e+003	7.59450e-001
3.899	1.07000e+003	7.77750e-001
3.982	8.70000e+002	8.23500e-001
4.079	7.50000e+002	8.69250e-001
4.157	6.30000e+002	9.42450e-001
4.233	5.30000e+002	1.12550e+000
4.307	4.10000e+002	8.78400e-001
4.379	2.90000e+002	1.02480e+000
4.449	2.20000e+002	9.15000e-001
4.517	1.20000e+002	8.78400e-001
4.584	7.00000e+001	7.86900e-001
4.649	0.00000e+000	0.00000e+000
4.712	0.00000e+000	0.00000e+000
4.774	0.00000e+000	0.00000e+000
4.834	0.00000e+000	0.00000e+000
4.893	0.00000e+000	0.00000e+000
2.669	0.00000e+000	0.00000e+000
2.787	6.00000e+001	1.15290e+000
2.902	2.00000e+002	1.40910e+000
3.014	3.60000e+002	1.65610e+000
3.122	5.10000e+002	1.35420e+000
3.227	6.60000e+002	1.23520e+000
3.329	7.70000e+002	9.51600e-001
3.447	8.80000e+002	9.05850e-001
3.543	1.02000e+003	9.05850e-001
3.636	1.19000e+003	7.50300e-001
3.744	1.33000e+003	7.50300e-001
3.831	1.04000e+003	7.86900e-001
3.916	1.03000e+003	8.05200e-001
3.999	9.30000e+002	8.41800e-001
4.095	6.90000e+002	8.23500e-001
4.172	5.90000e+002	9.60750e-001
4.248	5.00000e+002	1.21700e+000
4.322	4.20000e+002	9.05850e-001
4.393	3.10000e+002	1.03390e+000
4.463	2.00000e+002	9.42450e-001
4.531	1.30000e+002	7.41150e-001
4.597	7.00000e+001	7.77750e-001
4.662	3.00000e+001	0.00000e+000
4.725	0.00000e+000	0.00000e+000
4.786	3.00000e+003	4.57500e-002
4.846	5.80000e+001	1.83000e-002
